O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Index
11-1011.00,Chief Executives,11-9111.00,Medical and Health Services Managers,1
11-1011.00,Chief Executives,11-2022.00,Sales Managers,2
11-1011.00,Chief Executives,11-3031.01,Treasurers and Controllers,3
11-1011.00,Chief Executives,23-1011.00,Lawyers,4
11-1011.00,Chief Executives,11-2031.00,Public Relations and Fundraising Managers,5
11-1011.00,Chief Executives,11-3061.00,Purchasing Managers,6
11-1011.00,Chief Executives,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,7
11-1011.00,Chief Executives,11-9199.04,Supply Chain Managers,8
11-1011.00,Chief Executives,11-3071.03,Logistics Managers,9
11-1011.00,Chief Executives,11-3131.00,Training and Development Managers,10
11-1021.00,General and Operations Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,1
11-1021.00,General and Operations Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,2
11-1021.00,General and Operations Managers,11-3011.00,Administrative Services Managers,3
11-1021.00,General and Operations Managers,11-9081.00,Lodging Managers,4
11-1021.00,General and Operations Managers,11-3071.03,Logistics Managers,5
11-1021.00,General and Operations Managers,11-9071.00,Gaming Managers,6
11-1021.00,General and Operations Managers,11-3061.00,Purchasing Managers,7
11-1021.00,General and Operations Managers,11-9051.00,Food Service Managers,8
11-1021.00,General and Operations Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",9
11-1021.00,General and Operations Managers,11-3071.02,Storage and Distribution Managers,10
11-2011.00,Advertising and Promotions Managers,27-3031.00,Public Relations Specialists,1
11-2011.00,Advertising and Promotions Managers,27-2012.01,Producers,2
11-2011.00,Advertising and Promotions Managers,11-2021.00,Marketing Managers,3
11-2011.00,Advertising and Promotions Managers,11-2031.00,Public Relations and Fundraising Managers,4
11-2011.00,Advertising and Promotions Managers,27-1011.00,Art Directors,5
11-2011.00,Advertising and Promotions Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",6
