Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,East Bay,2018-2028,00-0000,"Total, All Occupations",1261170,1362680,101510,0.1,565750,914890,1582160,27.78,57785.00,N/A,N/A,N/A
Regional Planning Unit,East Bay,2018-2028,11-1011,Chief Executives,2710,2610,-100,-0.0,710,1180,1800,99.35,206654.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Inland Empire,2018-2028,00-0000,"Total, All Occupations",1610470,1773190,162710,0.1,776070,1232700,2171480,19.55,40675.00,N/A,N/A,N/A
Regional Planning Unit,Inland Empire,2018-2028,11-1011,Chief Executives,2090,2020,-70,-0.0,550,910,1390,93.10,193660.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-1021,General and Operations Managers,18600,20320,1710,0.1,4080,12820,18610,62.75,130533.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-1031,Legislators,180,170,0,-0.0,40,90,130,0.00,76618.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-2011,Advertising and Promotions Managers,230,250,20,0.1,50,180,250,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-2021,Marketing Managers,2830,3240,410,0.1,620,2070,3100,90.24,187710.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-2022,Sales Managers,5090,5540,440,0.1,1080,3630,5160,76.31,158710.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-2031,Public Relations and Fundraising Managers,690,770,80,0.1,160,460,710,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3011,Administrative Services Managers,2440,2720,270,0.1,710,1440,2420,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-3021,Computer and Information Systems Managers,5060,6040,980,0.2,950,3380,5310,94.41,196368.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3031,Financial Managers,5860,7010,1150,0.2,1390,3570,6100,80.73,167913.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3051,Industrial Production Managers,1650,1800,150,0.1,370,890,1400,65.59,136422.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3061,Purchasing Managers,590,650,70,0.1,150,370,580,76.11,158308.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3071,"Transportation, Storage, and Distribution Managers",1700,1770,70,0.0,380,990,1440,54.49,113336.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3111,Compensation and Benefits Managers,150,160,10,0.1,40,90,140,76.79,159729.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3121,Human Resources Managers,1530,1740,210,0.1,370,1010,1590,74.51,154967.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-3131,Training and Development Managers,310,340,30,0.1,80,210,320,73.15,152142.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-9021,Construction Managers,5070,5380,320,0.1,1100,2660,4070,60.02,124843.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,11-9031,"Education Administrators, Preschool and Childcare Center/Program",1170,1230,60,0.1,310,620,990,28.36,58978.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9032,"Education Administrators, Elementary and Secondary School",1440,1670,230,0.2,400,800,1430,0.00,121410.00,Master's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-9033,"Education Administrators, Postsecondary",830,830,10,0.0,210,430,650,69.28,144087.00,Master's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9039,"Education Administrators, All Other",1020,1180,160,0.2,280,570,1010,40.49,84225.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9041,Architectural and Engineering Managers,3410,3680,280,0.1,620,1940,2830,91.48,190276.00,Bachelor's degree,5 years or more,None
